"Rank","Name","Team","Pos","Pos","Avg","Sleeper","ESPN","Yahoo","Underdog"
"[object Object]","Tory Horton","SEA","WR","WR","20.10","22.08","-","-","18.12"
"[object Object]","Theo Johnson","NYG","TE","TE","20.11","22.11","-","-","18.12"
"[object Object]","Troy Franklin","DEN","WR","WR","20.11","22.12","-","-","18.11"
"[object Object]","Emanuel Wilson","SEA","RB","RB","21.01","23.02","-","-","18.12"
"[object Object]","Shedeur Sanders","CLE","QB","QB","30.07","57.10","15.02","-","18.10"
"[object Object]","Kyle Williams","NE","WR","WR","30.08","57.12","15.02","-","18.12"
"[object Object]","Christian Kirk","SF","WR","WR","30.12","58.09","15.02","-","18.12"
"[object Object]","Jaylin Noel","HOU","WR","WR","36.11","56.04","-","-","17.05"
"[object Object]","Devaughn Vele","NO","WR","WR","37.02","57.08","-","-","16.09"
"[object Object]","Chimere Dike","TEN","WR","WR","37.05","55.10","-","-","18.12"
"[object Object]","Mason Taylor","NYJ","TE","TE","37.10","56.08","-","-","18.12"
"[object Object]","Brashard Smith","KC","RB","RB","37.11","56.09","-","-","18.12"
"[object Object]","Jack Bech","LV","WR","WR","38.02","57.05","-","-","18.11"
"[object Object]","Devin Neal","NO","RB","RB","38.07","58.02","-","-","18.12"
"[object Object]","Chris Brazzell II","CAR","WR","WR","38.09","58.05","-","-","18.12"
"[object Object]","Audric Estimé","NO","RB","RB","38.10","58.09","-","-","18.12"
"[object Object]","Kaleb Johnson","PIT","RB","RB","38.10","58.09","-","-","18.12"
"[object Object]","Michael Penix Jr.","ATL","QB","QB","38.11","58.11","-","-","18.11"
"[object Object]","Max Klare","LAR","TE","TE","38.11","58.10","-","-","18.12"
"[object Object]","Elijah Sarratt","BAL","WR","WR","38.12","58.12","-","-","18.11"
"[object Object]","Rashod Bateman","BAL","WR","WR","38.12","59.05","-","-","18.08"
"[object Object]","Elic Ayomanor","TEN","WR","WR","39.02","59.03","-","-","18.12"
"[object Object]","Marvin Mims Jr.","DEN","WR","WR","39.02","59.05","-","-","18.12"
